Table Name,Short Name,,Latitude (average),Longitude (average),Icon,Country,
Afghanistan,Afghanistan,"'Afghanistan',",33.00,65.00,https://opendata.socrata.com/views/mnkm-8ram/files/k_EEIsAP9vAU4a3vRQw6-zNBqghV_zSVK76s0Rongow,Afghanistan,1
Albania,Albania,"'Albania',",41.00,20.00,,Albania,1
Algeria,Algeria,"'Algeria',",28.00,3.00,,Algeria,1
American Samoa,American Samoa,"'American Samoa',",-14.33,-170.00,,American Samoa,1
Andorra,Andorra,"'Andorra',",42.50,1.60,,Andorra,1
Angola,Angola,"'Angola',",-12.50,18.50,,Angola,1
Antigua and Barbuda,Antigua and Barbuda,"'Antigua and Barbuda',",17.05,-61.80,,Antigua and Barbuda,1
Argentina,Argentina,"'Argentina',",-34.00,-64.00,,Argentina,1
Armenia,Armenia,"'Armenia',",40.00,45.00,,Armenia,1
Aruba,Aruba,"'Aruba',",12.50,-69.97,,Aruba,1
Australia,Australia,"'Australia',",-27.00,133.00,,Australia,1
Austria,Austria,"'Austria',",47.33,13.33,,Austria,1
Azerbaijan,Azerbaijan,"'Azerbaijan',",40.50,47.50,,Azerbaijan,1
"Bahamas, The",The Bahamas,"'The Bahamas',",24.25,-76.00,,Bahamas,
Bahrain,Bahrain,"'Bahrain',",26.00,50.55,,Bahrain,1
Bangladesh,Bangladesh,"'Bangladesh',",24.00,90.00,,Bangladesh,1
Barbados,Barbados,"'Barbados',",13.17,-59.53,,Barbados,1
Belarus,Belarus,"'Belarus',",53.00,28.00,,Belarus,1
Belgium,Belgium,"'Belgium',",50.83,4.00,,Belgium,1
Belize,Belize,"'Belize',",17.25,-88.75,,Belize,1
Benin,Benin,"'Benin',",9.50,2.25,,Benin,1
Bermuda,Bermuda,"'Bermuda',",32.33,-64.75,,Bermuda,1
Bhutan,Bhutan,"'Bhutan',",27.50,90.50,,Bhutan,1
Bolivia,Bolivia,"'Bolivia',",-17.00,-65.00,,"Bolivia, Plurinational State of",
Bosnia and Herzegovina,Bosnia and Herzegovina,"'Bosnia and Herzegovina',",44.00,18.00,,Bosnia and Herzegovina,1
Botswana,Botswana,"'Botswana',",-22.00,24.00,,Botswana,1
Brazil,Brazil,"'Brazil',",-10.00,-55.00,,Brazil,1
Brunei Darussalam,Brunei,"'Brunei',",4.50,114.67,,Brunei Darussalam,1
Bulgaria,Bulgaria,"'Bulgaria',",43.00,25.00,,Bulgaria,1
Burkina Faso,Burkina Faso,"'Burkina Faso',",13.00,-2.00,,Burkina Faso,1
Burundi,Burundi,"'Burundi',",-3.50,30.00,,Burundi,1
Cabo Verde,Cabo Verde,"'Cabo Verde',",16.00,-24.00,,Cabo Verde,1
Cambodia,Cambodia,"'Cambodia',",13.00,105.00,,Cambodia,1
Cameroon,Cameroon,"'Cameroon',",6.00,12.00,,Cameroon,1
Canada,Canada,"'Canada',",60.00,-95.00,,Canada,1
Cayman Islands,Cayman Islands,"'Cayman Islands',",19.50,-80.50,,Cayman Islands,1
Central African Republic,Central African Republic,"'Central African Republic',",7.00,21.00,,Central African Republic,1
Chad,Chad,"'Chad',",15.00,19.00,,Chad,1
Channel Islands,Channel Islands,"'Channel Islands',",49.40,2.30,,Channel Islands,
Chile,Chile,"'Chile',",-30.00,-71.00,,Chile,1
China,China,"'China',",35.00,105.00,,China,1
Colombia,Colombia,"'Colombia',",4.00,-72.00,,Colombia,1
Comoros,Comoros,"'Comoros',",-12.17,44.25,,Comoros,
"Congo, Dem. Rep.",Dem. Rep. Congo,"'Dem. Rep. Congo',",0.00,25.00,,"Congo, the Democratic Republic of the",
"Congo, Rep.",Congo,"'Congo',",-1.00,15.00,,Congo,1
Costa Rica,Costa Rica,"'Costa Rica',",10.00,-84.00,,Costa Rica,1
C�te d'Ivoire,Cote d'Ivoire,"'Cote d'Ivoire',",8.00,-5.00,,Côte d'Ivoire,
Croatia,Croatia,"'Croatia',",45.17,15.50,,Croatia,1
Cuba,Cuba,"'Cuba',",21.50,-80.00,,Cuba,1
Cura�ao,Curacao,"'Curacao',",12.20,69.00,,Curacao,
Cyprus,Cyprus,"'Cyprus',",35.00,33.00,,Cyprus,1
Czech Republic,Czech Republic,"'Czech Republic',",49.75,15.50,,Czech Republic,1
Denmark,Denmark,"'Denmark',",56.00,10.00,,Denmark,1
Djibouti,Djibouti,"'Djibouti',",11.50,43.00,,Djibouti,1
Dominica,Dominica,"'Dominica',",15.42,-61.33,,Dominica,1
Dominican Republic,Dominican Republic,"'Dominican Republic',",19.00,-70.67,,Dominican Republic,1
Ecuador,Ecuador,"'Ecuador',",-2.00,-77.50,,Ecuador,1
"Egypt, Arab Rep.",Egypt,"'Egypt',",27.00,30.00,,Egypt,1
El Salvador,El Salvador,"'El Salvador',",13.83,-88.92,,El Salvador,1
Equatorial Guinea,Equatorial Guinea,"'Equatorial Guinea',",2.00,10.00,,Equatorial Guinea,1
Eritrea,Eritrea,"'Eritrea',",15.00,39.00,,Eritrea,1
Estonia,Estonia,"'Estonia',",59.00,26.00,,Estonia,1
Ethiopia,Ethiopia,"'Ethiopia',",8.00,38.00,,Ethiopia,1
Faeroe Islands,Faeroe Islands,"'Faeroe Islands',",62.00,-7.00,,Faroe Islands,
Fiji,Fiji,"'Fiji',",-18.00,175.00,,Fiji,1
Finland,Finland,"'Finland',",64.00,26.00,,Finland,1
France,France,"'France',",46.00,2.00,,France,1
French Polynesia,French Polynesia,"'French Polynesia',",-15.00,-140.00,,French Polynesia,1
Gabon,Gabon,"'Gabon',",-1.00,11.75,,Gabon,1
"Gambia, The",The Gambia,"'The Gambia',",13.47,-16.57,,Gambia,
Georgia,Georgia,"'Georgia',",42.00,43.50,,Georgia,1
Germany,Germany,"'Germany',",51.00,9.00,,Germany,1
Ghana,Ghana,"'Ghana',",8.00,-2.00,,Ghana,1
Greece,Greece,"'Greece',",39.00,22.00,,Greece,1
Greenland,Greenland,"'Greenland',",72.00,-40.00,,Greenland,1
Grenada,Grenada,"'Grenada',",12.12,-61.67,,Grenada,1
Guam,Guam,"'Guam',",13.47,144.78,,Guam,1
Guatemala,Guatemala,"'Guatemala',",15.50,-90.25,,Guatemala,1
Guinea,Guinea,"'Guinea',",11.00,-10.00,,Guinea,1
Guinea-Bissau,Guinea-Bissau,"'Guinea-Bissau',",12.00,-15.00,,Guinea-Bissau,1
Guyana,Guyana,"'Guyana',",5.00,-59.00,,Guyana,1
Haiti,Haiti,"'Haiti',",19.00,-72.42,,Haiti,1
Honduras,Honduras,"'Honduras',",15.00,-86.50,,Honduras,1
